Sentiment,HelpFul,Title,Review
5,0,Gorgeous!,Everything about these curtains is perfect. We  LOVE them!!
5,23,So cool!,"These are the coolest curtains I've ever seen! I just re-decorated our guest room and wanted a woodsy cozy vibe and this is the perfect piece of art. My photo is with the lights off and the sun shining through. The fabric is thick, and I didn't have to iron them before I put them up which was great. Our window was 85 inches from bar to floor, so I ordered 90 inch because I wanted it to go all the way to the floor. I was going to sew them to fit, but the material was sturdy enough that I just folded it underneath and it looks perfect. I was nervous if they would work, but they exceeded my expectations and are perfect!"
5,5,I absolutely love these curtains,I absolutely love these curtains!  It blends so well with the colors of my wall and it doesn't make my home appear dark.  I like to close the cartains on this window so I can obscure the view of my neighbors junk!
5,1,Gorgeous!,"Wasn't sure what to expect. Afraid it would be cheesy, as I am very particular but this is gorgeous, unique and def happy with purchase"
5,1,Cute cover up in the utility area,These work great as a curtain in front of my washer and dryer set.
5,0,These make the room look amazing and everyone who stops by loves them and wants ...,These make the room look amazing and everyone who stops by loves them and wants to order them also.
4,4,I was VERY pleasantly surprised by the quality of the material which is really good and elegant,This is really Gorgeous!! I was VERY pleasantly surprised by the quality of the material which is really good and elegant! It is also very lightweight. Great buy. I love it!!
5,23,I was nicely surprised - the material is very soft and much ...,"I would give the rating more than 5 stars if available.  I was nicely surprised - the material is very soft and much thicker than I thought it would be.  It is light weight - so I didn't have to worry about the rod holding up ok.  The color and detail is as pictured.  I washed it before hanging and let it air dry - didn't shrink or wrinkle.  I have bought scenic curtains previously from another company for about the same price - the difference is quality is so noticeable - Personalized Décor is 100% better - overall for price, quality, clear sharp picture and colors definitely well worth buying.  I put it in my living room and am thinking of getting similar design for the dining room and kitchen patio doors."
5,0,Solid,I used this to cover an open cabinet area of a room. The material is solids. Keep in mind this screen is a little dark. I only used one panel
5,0,3d curtains,love it gives home a beach look ... not to dark just right
5,1,Beautiful!,"They are beautiful,getting lots of compliments. Color is a bit lighter than shown."
5,0,Five Stars,Added a great deal of tropical personality to my room.
5,1,Excellent,I debated on buying these for months. Finally did and I really like them. I have black room darkening curtains behind them because I wanted to make my room dark like a blackout curtain. Highly recommend.
1,2,One Star,I returned as what not as advertise.
5,1,Five Stars,I like it
5,1,Five Stars,Excellent! Thank you!!
5,0,I would love to see what you really get and if they ...,Somebody please post pictures. I would love to see what you really get and if they meet the description. Thanx.
5,6,"Material is great, and the curtains are lined","Used these when redoing our daughters room . Material is great, and the curtains are lined.  They are heavy which has helped block light and draft in her room."
5,2,"Nice material, hang well","Nice material, hang well, beautiful colors, very happy with these curtains in my grandaughter's  ""Evening In Paris""  themed bedroom.Pink walls blended very well, and brought out the pink motor bike."
5,1,Five Stars,Love it
3,0,Actual image not nearly as clear as the on line ...,Actual image not nearly as clear as the on line photo is. Lake / pond very hard to see  somewhat disappointing for the cost.
5,3,Love these curtains!,"The curtains are beautiful!  Fabric is of good quality.  They are very wide and extra long and when the sun shines through, it is quite a pleasant scene."
5,8,LOVE these curtains,LOVE these curtains!!!  They are heavy and not sheer so you can use in a bedroom which I did.  Gotta get more now....haha!
5,1,Five Stars,Excellent quality
5,0,Five Stars,Beautiful and excellent quality!
5,0,Five Stars,love it .
3,1,Not quite the right color,"The description says ""white and black"" but the background color is not white.  It was more of a really pale lime green.  Otherwise, the material seems pretty durable and I like the picture."
5,0,Five Stars,Love them!
5,81,Five Stars,"Love them, perfect for my living room"
5,60,LOVE!,"We constantly get compliments on these as you just don't see anything like it anywhere. They are so unique and absolutely beautiful! We were a little bit weary as they are a little pricey, but they are well worth it. They shipped on time, feel heavy and like they are of good quality. I am terrified of having to wash them at some point because I would be devastated if anything happened to them. They are wonderful and the focal point of our whole living room. If we ever grow tired of them (which I doubt) we'll definitely be ordering from the same company again just a different picture. If you are considering purchasing these, don't hesitate. They are great !"
4,14,One person's mistake is another person big win!,I ordered these curtains by mistake and intended to return them but decided to hang them in my adult son's room as lark
4,4,it looks good. My only dislike is that they are not ...,"I ordered these to use with a room divider rod to block off the open space behind my couch. I put a black curtain on each side to fill the space these didn't. With my couch in front of them, it looks good. My only dislike is that they are not lined, so if the light from the room behind them is on - you can tell. Now, in no way does it really look bad, I just would give 5 stars if they were lined. A unique way to block off a room without building a wall or hanging average curtains. Everyone who has seen them so far says they look good and are a fun idea."
5,1,Great,I'm using this curain to have some privacy from our foyer and it works well. Great idea. You just have to make sure it blends with your current paint color and furniture.
5,2,Curtains as art,These curtains really enhanced the room and makes a great closet covering. I absolutely love them.
5,1,Five Stars,These are beautiful and very good quality. I love them!!!
5,2,Five Stars,Perfect for my place thanks
5,1,Five Stars,Awesome
3,3,Pretty but I returned it because the fabric doesn't hang well,The fabric is so heavy that it doesn't hang well when the curtains are drawn aside.
3,2,Three Stars,Makes my apartment look bigger! And heavier somehow.
5,57,Bed and Elegant,love love love<br><br>i used these for a back drop behind my bed
5,10,Gorgeous Curtains,Beautiful curtains.  I've recieved SO many compliments on these drapes.  Good heavy texture and just enough room darkening for our dining room.
5,16,"GORGEOUS, WELL MADE AND EXCELLENT QUALITY!!!","I was hesitant about ordering these thinking, perhaps, they would be a little kitschy or low quality. Boy, was I surprised! These are GORGEOUS and made of a high quality, thick and well-weighted sateen that is just stunning and very very well made. The picture, literally, does not do justice to how beautiful these are and I would recommend them to ANYONE!"
1,4,One Star,Looks nothing like what I saw online. Not a rich dark colour
5,10,mood enhancing curtains,I love these curtains. It makes me feel like I'm looking out on my favorite lake. They are light weight and keep the sun out. They are not room darkening but does keep the sun and are not see through. I would recommend them.
5,2,Love,They looked great. We're perfectly transparent and transformed the environment
3,0,Three Stars,This would have looked amazing if it where just 14 inches wider. Have to return
5,0,Five Stars,Gorgeous curtain and looks great in my room!
5,2,Five Stars,Love these curtains!!!! The colors are beautiful and every one compliments them.
5,1,Five Stars,Like so much!!
5,1,Item exactly as described.,It looks great in the bedroom!
4,3,I actually really loved the curtains,"Be advised that these do not block out much light.  I actually really loved the curtains, however, I did eturn them as it didn't suit the space as I intended.  Great quality and unique.  Thanks!"
5,5,lovely curtains,"I love these curtains. I bought them to hang in our family room/dinning<br>Room cut out. They look lovely, giving my living room an endless vision of mystery and tranquility, vs looming straight down my dinning room into the kitchen. I feel as if I am away from home and sitting right in my living room. I love it. Plus they are very thick and we'll made. Great quality. I am thinking about purchasing the tree as well."
5,3,Five Stars,LOVEIT
5,2,Ambesonne Mediterranean Collection,Love the beautiful curtain panels.  They are good quality and a beautiful scene!
5,2,AWESOME !,"Looks great, colors are just like in the picture and my living rooms looks great !"
5,1,Five Stars,This is even better in person! So pretty! My daughters room looks like the beach:)
5,1,Greay purchase,"I LOVE LOVE these curtains!  They look great hanging in my eat-in kitchen windows!  The colors are great - bright, festive and true to colors in picture.  Wonderful Christmas setting for my kitchen."
5,0,Just right!,Very good quality! Kids love making plays.
5,0,Look beautiful.,I got just what I ordered. Look beautiful.
5,49,QUALITY you can FEEL!!! :),"I took a gamble purchasing these drapes even though it had no prior reviews on Amazon but I must say that I LOVE IT!!! It arrived way EARLIER than the estimated shipping time which I Appreciate. The QUALITY of the texture is Amazing!!! Smooth to the Touch. The Image on it looks Lovely which was the main reason I decided to buy it in the first place. I placed this on top of our sliding glass back door which gives the illusion that we have a beach in our backyard. It is TRANSLUCENT which allows light to pass through but is not Transparent so you still have the PRIVACY of your home. The fabric is thicker than I thought which is good for home heating/cooling cost. Also, I'm sure some will ask but the image is only on ONE side. The other side is white which is nice and simple from the outside of my backyard. The only thing is,  I underestimated the size of it. It is a bit longer/taller than I thought. But is of a simple fix just by hooking up my hanger a bit higher. Overall, I am a SATISFIED customer and it's a great addition to my beach house oasis themed home! :)"
3,0,"Great Design, Print Is Not Great","I really liked the design and the colors shown in the picture, but in reality it wasn't as sharp."
5,0,Beautiful,These Curtains are beautiful and pretty thick to boot. They are a bit heavy though so be prepared for that.
5,0,Five Stars,Love these
5,7,Good quality product. Looks great!,"Good quality material and imaging on the curtains. Colors are true to the photos. A real nice effect in my living room, love it when the light comes through it!"
5,0,Beautiful,Love these curtains!  They are absolutely beautiful!  The fabric quality is also great!  Highly recommend.
3,16,"Idea is great, fabric is good, color: beware","First, I really liked the product and the concept.  Fabric was heavier than I expected and the print itself was nice.  The problem was, the panel on the left LOOKS like the trunks of the trees are black (from the shadows) but in reality, they were a dark teal green.  The panel on the right did not seem to pick up that color (more light in the original photo?) but since I was trying to go with my room theme of black and white and red...bleh! It didn't work at all.  I love teal, but not in this case.  Be aware that returns are on you, the customer, if you don't like the color.  YOu are choosing from a very tiny photo on the computer screen, so try to make it as big as you can before purchasing.  Cost about $13 to send it back via flat rate boxes at the P.O.  ouch!  Sorry I didnt' think of taking a photo before I sent it back."
5,1,I was very please how nice they looked when they arrived,"I ordered these to use as a backdrop for a Halloween scene we are creating in our front yard.  I was very please how nice they looked when they arrived.  They are a nice heavy duty fabric that I think will hold up well, and the graphics on them was very detailed and realistic looking.  I think this will work out very nicely for what I need it for."
5,0,Five Stars,Very bright and cheery.
5,1,Cutest Curtains Ever!,"We bought these for our son's galaxy themed nursery and I have to say they are awesome! Super cute, silky material and thick. PERFECT!"
5,1,Very nice!!!!,Better than I expected. It JUST fits my window. I wish it was a bit wider. I love it and it is very surprising to the visitors!!!!!
1,4,Not rustic looking,"Doesn't look rustic, the colors were orange and blue....not brown....."
3,0,Three Stars,VERY COOL LOOKING
5,1,love it,"Great shipping, just as advertised, looks great."
4,1,I love these curtains,"I love these curtains, they are just how described. They are not as blue as in the picture and there is more pink than what I was expecting, but over all I like them"
5,1,Five Stars,great curtain
5,4,... my washer and dryer in the kitchen and looks awesome!!,I use these to cover my washer and dryer in the kitchen and looks awesome!!!!!
1,1,Color Horrible!,The color is horrible. Not like the picture at all!
5,33,Beyond all of my expectations.,"I have never gotten as many compliments on anything in my home than these curtains. I held my breath and took a risk when I bought them, because they're obviously not your standard curtains. But holy monkeys, these things are GORGEOUS in person. They're very thick, and do a fine job of blocking out most light. They look like artwork.<br><br>You can do it! Be creative with your home!"
5,18,Great image,"These are the best curtains if you're looking for something different.. From the outside in.. You can't see through them. But when the sun comes through from the outside, it's like you have a picture on your wall, and changes with the sun. Good weight also. Not cheap thin shear like curtain. The image is beautiful ! Highly recommend."
5,3,nice product,There is more blue in the material than the photo shows but otherwise very nice product.
5,1,The quality is better than I expected,arrived on time. The quality is better than I expected. I haven't yet hung them up - but I can already picture the exact look that I was looking for
5,2,Awesome,Awesome product used it as a backdrop behind the bridal table at my sons wedding.
1,2,Looked cheap like a shower curtain.,Looked cheap like a shower curtain. Returned.
5,2,Five Stars,looks great in my kitchen better quality than I expected
5,0,Love it,Love it
5,0,Five Stars,These are AWESOME!!! Great quality. Allows light through. Perfect for my son.:)
4,1,The fabric seems nice. Way to big for slider area,"The wood looks orange, thr grey looks blue. The fabric seems nice. Way to big for slider area."
2,0,Two Stars,Didn't look as good in person so i returned it.
5,0,Five Stars,:)
2,0,Two Stars,Not what I was expecting. Print looks fake. I wish I was able to get my money back.
5,10,Was sceptical about purchasing them.. But after feeling like I needed to have them.. I went for it.. So glad I did.. Very satisf,@bsolute Beautiful.. @lready lookin to get @ second pair..  Highly Recommend..
5,9,beautifully packaged for a beautiful curtain,It makes any room pleasant. I have a ghetto apartment view behind my window and now I have this gorgeous view... I don't even want to open my window curtain. beautifully packaged for a beautiful curtain! Couldn't  be anymore happier.
5,0,Excellent!,"Best product ever!!! Very beautiful, good material, awesome picture!!! Love it!!!"
5,5,Just beautiful!,I love waterfalls and this really fits the bill.  I put some lace valance with side panels and it looks even more beautiful.  Also tried it open like a sash look and that is gorgeous too!  I just love this!  Thank you!
5,16,I'm using them on my sliding glass doors (which I don't use much) perfect height and width,these curtains looked ok at night but they really come to life when the sun shines through! I'm using them on my sliding glass doors (which I don't use much) perfect height and width.
5,0,"Gone to the Island, Muan!","Great! I feel like I've gone to Tahiti! I placed all wicker, resin furniture around this and the next flood, no worries. I put up metal walls, no more sheet rock, nothing permanent. Nuff said!"
5,6,Great artwork,"I purchased the 4 seasons print and couldn't be happier. I needed curtains to cover my patio doors. They let light in, cannot see through (privacy), and look classy.  Sorry, this picture is before I put them in the drier to get wrinkles out."
1,7,I was disappointed. Cheap shower curtain look for sure,It does not look as vibrant and dramatic as the photo. I was disappointed. Cheap shower curtain look for sure.
5,1,Great Curtains,I wish they had wider ones but the 108 inches fit.  I had a problem hanging them so I contacted the seller and they got right back to me and said I hung they on the wrong sides.  I switched and boom!!! Just right!!! Had no problems and would buy from this seller again!!!
5,4,Five Stars,Really pretty design. Looks just like the picture. You'll want blackout curtains behind if they are for a bedroom.
5,1,Five Stars,Love em
1,3,I also did not like the way these curtains were made,"I am returning these curtains. They do not look as bright as shown online and material is too heavy. I also did not like the way these curtains were made, I tried it on my window, and it looks cheaper than my old $12 panels."
4,23,The curtains and print themselves are beautiful and great quality,The curtains and print themselves are beautiful and great quality. I'm not rating it 5 stars because one panel was about an inch longer than the other and it was very obvious to me when hung. I did reorder and will be returning the first order. I hope the second pair is the same length because they really are perfect for my kids play room.
5,0,I like it,Very Pretty
5,0,Happy!,Very nice and well made.
4,5,Water Scene - so comforting,"This was really pretty but I had to return it because my room was too small and it just did not look good.  I was using it as a curtain for my closet and had removed the 3 doors.  If I found a use for this in the future, I would certainly buy it again."
5,7,The open windows to retirement!,"I used this as a ""backdrop"" for a Retirement Party ---- it was so much fun to photoshop everyone in front of it.<br>The quality of the print is excellent."
5,1,Pleasing To The Eyes!,"This looks really good in my window.  Instead of looking at the neighbors house, I am now looking at the sunset on the beach. Awesome!!"
5,1,Beautiful!,Beautiful! I bought these for my very dark living room. They are made very well &amp; lighten up the room!
5,0,Cool!,Not as vivid as picture but probably for the better. Livens up the room.
5,0,Very pleased.,Well packaged.  Arrived early.  Nicer than I expected.  Very pleased.
5,0,beautiful curtins,wonderful quality.I would recommend.
5,30,A good disguise,It's winter here in Minneapolis and at -23 deg f I love this view in my room haha!
5,8,Beautiful!!!,"This was a pleasant surprise! Told my friends &amp; family about these drapes.<br>Not ""cheesy"" at all--&amp; I am picky. Using this as a 3rd drape (with sheer immediately in front of these &amp; regular drape in front of sheer). However, these can stand on their own as they are<br>not see through at all (even with all lights on inside at night), &amp; during day keep out harsh sunlight but with a low key glow to make view look real. Seller was great. Great purchase!"
4,1,Four Stars,its beautiful
5,4,GREAT LOOKING AND GOOD MURAL ALTERNATIVE,Bough this for my 12 year old vs getting a wall mural. It looks great and is of good quality. Makes dramatic change to room and it is not permanent .
1,3,Poor quality shower curtain--blurry and colors not as shown.,"I purchased the purple flowers with walkway. It looks nothing like the online pictures. It's washed out, blurry and faded.  It basically looks like a poor-quality shower curtain. I'm hugely disappointed and returning it."
4,6,Beautiful product!,The product is really good! The material is high quality and it came earlier then expected. The only thing is that it doesn't block out the sun
5,2,Five Stars,Very pretty great fabric quality
4,4,Four Stars,Need a blackout curtain to go with it.
5,2,Five Stars,These are beautiful! I love them :)
5,3,What a very beautiful and unique addition to what I call (my lady's ...,What a very beautiful and unique addition to what I call (my lady's room) a room that is filled with all of my favorite things
3,19,like a rec room,"These curtains are one of those things you have to bring into your home to see if they're right for you and the location you want to hang them.  They weren't right for me because I wanted them in my bedroom, just a few feet from my bed; and at that close range, it was too obvious that these were made from photos blown up to the point that the lights were blurred.  I think, if I had a large room, like a rec room, where the curtains would be at the far end, I would have been happy with them.<br><br>The material was good, it hung nicely, the shipping was prompt, the return easy, and the refund was received quickly."
5,2,Five Stars,delivered in a timely manner and high quality product
5,37,LOVE LOVE LOVE,"I have already gotten tons of compliments on this room divider! I've been searching for something different to add a little spice to my boring living room. I picked another room divider curtain and thank goodness I found this one instead! It's so gorgeous, I LOVE IT!! Thank you so much! Super fast shipping too. I might have to buy another. ;)"
2,11,Darker gray than pictured. Christmas tree too light.,"I bought the blue Christmas tree on gray.  The gray is much darker than in the picture (from the top of the tree up) and kinda drab. Only if you have light behind it, and shiny floors may it be close to the picture."
3,11,"Blurry, low quolity picture","To put it bluntly, I wouldnt' have brought these curtains, had I seen them in a store, because the image is too blurry, making them to look cheap. However, I'll have to learn to like them for the time being. Positives: (1) the curtains look fairly nice when it is dark outside, especially from a distance; (2) the material is nice and silky; (3) my daughter tells me that they remind her of our trip to Spain, while my husband thinks that they are ... origenal. Negatives: besides being blurry they are too sheer. Thus, they don't look good when it is light outside. They look cheap. But on a positive side, they do let some light through... and I've already returned other curtains, so these will just have to do."
5,4,... as dark as in the picture but they look great up and catch light in a really cool way,Colors weren't as dark as in the picture but they look great up and catch light in a really cool way.
5,0,Five Stars,Love it
5,0,Five Stars,These were really awesome!!!
5,1,Five Stars,Great for my daughters room!
5,0,Five Stars,"Beautiful product. Clear picture, quality material. Very happy with ALL  Ambesome products I've purchased"
3,0,Three Stars,I like the color but they don't look right hanging.
5,3,"Exactly that I expected them to be like, beautiful","Exactly that I expected them to be like, beautiful, rich color, just ironed them with a warm iron and hung them right up.  They look like they would be see-through, but they're not at all. 100% satisfied"
1,2,it's beautiful and exactly what I,"I bought this curtain for the back drop in my wedding, it's beautiful and exactly what I wanted"
5,11,Love it!,"These are gorgeous. A little sheer in bright light, but the colors just pop. It has brightened up my kitchen! Makes the view out of my kitchen much prettier!"
5,1,Really gorgeous colors and great quality!,"Bought these for my teen daughter's room, because the other realistic photo style curtains were twice as much. I have to say, we love these!! They are beautiful in her room. She has a room darkening blind behind them, but when the morning light shines through they are more beautiful so she has been leaving the bind up. The color in these is gorgeous.<br>I did take the rod pocket and divided it, making it half the size so we have a bit of a header on the top now as they were a little too long for her window. I like them this way better, but right out of the package they are really nice. The quality is great.<br>Very pleased with this purchase!"
5,7,beautiful in,very bold colors if that's what you want.beautiful in person
5,4,... this was a risky purchase but the curtains look awesome. They block a large portion of light but ...,Okay this was a risky purchase but the curtains look awesome.  They block a large portion of light but are thin enough for the colors to shine bright during the day.  I recommend this product.
4,6,Pretty curtain,"It just looks like the picture posted on website.  A very pretty curtain, but not very good at shading light."
5,0,Beautiful!,Beautiful and very nice quality and workmanship.  I cannot wait to put it up after my new windows are installed!
5,8,Houston we have dope curtains,Exactly what I was hoping for. No see thru but not black out. Galaxy design is perfect
5,0,Beautiful Curtains,I love my curtains everyone has something nice to say when they see them in my room.
5,3,I love it and I get so many compliments on them,These are so unique. I love it and I get so many compliments on them. The hardest part was deciding which ones to get! You won't be disappointed.
5,18,Simply Beautiful,"My son wanted his little bachelor bungalow to resemble the place he most likes to be, the islands. He painted his walls an island blue, has the white sofa and I got him these curtains to top it all off. Now I wasn't sure if this would be kitschy or tasteful. I showed the picture to him and he wanted to try them. We were so happy when we took it out of the bag to see a vibrant print on quality material. He put them up and said they were great. They really made him feel like he was looking out to the shore.  These drapes are simply beautiful."
5,3,Five Stars,I was so happy with these curtains - they look absolutely beautiful behind our Christmas tree.
4,2,Four Stars,My daughter loves it
4,0,Four Stars,Everyone loves these curtains.
5,1,Five Stars,Prefect I love it so much and beautiful!
5,17,"Quality Printing and fabric, great for theme rooms","The quality was nice, it was a thick fabric, print quality was great, very sturdy.<br>Really made my moms beach theme bedroom makeover."
2,5,looks better on line than in person,not the same look in real feel....looks better on line than in person :(
5,1,A walk on the beach,It is like looking out at the ocean with a seat on the beach from your dining room table! I love it more every day!
4,1,Four Stars,Beautiful and well made!  It was exactly what I expected.
4,1,Great curtains,These are really nice and a lot heavier than I was expecting
5,6,beautiful!,"It's sunset on the beach all day everyday. They were big enough to cover my patio doors top to bottom, and both sides. My friends loose track of time at my house and stare endlessly into the sunset. Just leave the door open a bit and watch the clouds tool by an the waves roll LOL."
5,7,Love them!,"Be careful with your measurements, they are much longer than I expected but I still love them. They are soft and have a nice weight to them. They remind me of stained glass."
5,2,Five Stars,Beautiful beautiful beautiful I just love them
5,0,Five Stars,great window treatment
5,0,Party,Used for a game of thrones backdrop for a party.
4,0,Four Stars,It worked perfectly for our Halloween display...and it was actually delivered early
5,0,Five Stars,Super cute and good material
4,3,The material of the curtains is of nice quality and heavy thick fabric,"I purchased these curtains for a Paris themed party for my daughter to use as a backdrop. The material of the curtains is of nice quality and heavy thick fabric. The colors really stand out, there is no fading. My only complaint is where the the two curtains separate, the letter ""r"" is cut off so you only have the front part of the letter, but it is still a very pretty set of curtains."
5,7,Very pleased with the quality and design,"I wasn't quite sure what to expect when I ordered these curtains, but I LOVE them!!  My window faces the east so as the sun rises the room gets lighter and the print on the curtains is lighter, as night falls, the color of the curtains darkens as well.  It is really peaceful to me.  They are NOT room darkening curtains though.  They do allow a fair amount of light through in the mornings when fully closed.  I love the atmosphere it provides though.  For someone who lives in the midwest and loves the palm trees and beach as well, these were the perfect choice!!"
5,4,"love it, very deep colors","love  it ,very deep colors ,blocks  light  and has a heavy weight to it"
5,1,Great curtains!,"I bought these to liven up our Florida Room during the long, gray Ohio winters! These are beautiful and well made."
5,0,Five Stars,Beautiful
5,0,Five Stars,So beautiful will purchase again!!
5,1,Awesome,Very good quality!! My son loves them!
5,1,perfect,Perfect
5,1,Five Stars,Just as it looks!!
5,0,Five Stars,Beautiful !!
4,2,Four Stars,nice
4,3,Picture perfect,"Received in GREAT time, almost no wait. The picture on curtain is beautiful, not as crisp as online but gorgeous nonetheless!! A great accent to the room, dark walls and honey colored bed set, mohagany Baseboards and accents."
5,0,Quality product,The quality is amazing!  So glad I ordered these.  They are made extremely well and look beautiful.  I hesitated with the price because I am tired or such poor quality these days but these exceeded all expectations.
2,0,Two Stars,Way too dxpensive. Not even worth half of what is priced.
5,0,Five Stars,It is a nice material and looks exactly like the picture.
5,14,So happy with these!,Love these drapes. Good quality and great design. Warms up the room. Just getting started decorating my new place and couldn't be happier with my choice for drapes in one of the bedrooms. Looks great with antiques and high ceilings.
5,0,"High resolution, Extremely happy with.",My wife and I are in love with these curtains for our newly setup baby room. I am impressed with the high quality resolution matching exactly what the picture looks like.
5,1,It's a keeper.,Loving these curtains!
4,5,Nice material,Planning to use it as a photo backdrop for a party. My daughter wants to use it afterwards as curtains for her room. Surprised that the material was substantial; it's thick and smooth. Print design is clear and comparable to photo.
5,0,Five Stars,great for big windows sliders and small windows too the sun comes in perfect behind this curtain looks real
5,0,Five Stars,Very good quality. Love them
5,74,Used one panel a window,"This is the review I would have liked to have read, so I'm writing it.  I Used one panel a window for a regular size bedroom window..  It comes with two panels. The panel lets light in but the weight is like a cotton bed sheet.  I didn't know if the panels were sheer curtains and they are not.  They are a nice cotton fabric well sewn.  I bought other black (black out) drapes and layer them on top with pull back hooks for easy morning (pull those curtains back) behind the brass tieback bar."
5,2,Five Stars,I love these curtains they look great
5,15,These are beautiful. The printing is high quality and I love ...,"These are beautiful. The printing is high quality and I love the fact that they block light without a shear behind them. The material is silky (please excuse the wrinkles in the picture as I haven't steamed them yet), but these are heavy curtains. Worth every penny and then some."
5,7,large and beautiful,beautiful. looks great in my living room. easily slides on a rod.
4,36,A sunny day when you need one in the winter,"I purchased the forest springtime version.<br>Well made and nice feel. Much better than I thought they would be.<br>I purchased them for the winter. I hate looking out the windows and seeing all grey. I thought this would make me smile, and it does.<br>I was originally disappointed with the photo. It didn't look like the photo on line. The curtains appeared to be overexposed, ie washed out. The sun was not as bright and was more spread out. However, I have had the curtains  for about a month and they are working well for me.  I am extremely  happy with the curtains and recommend them."
5,22,beautiful,fast shipping<br>highquality material<br>piece of an artwork~<br>thanks alot'
5,2,Five Stars,Freaking awesome
5,0,Five Stars,Have been looking for something like this for a long time it has completed my living room
